127.0.0.1 - - [02/Jun/2017:09:59:19 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:28 +0530] "GET /MobileStore/ HTTP/1.1" 200 7623
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:28 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:28 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:28 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:28 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:28 +0530] "GET /MobileStore/resources/image/LogoNew.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:28 +0530] "GET /MobileStore/resources/image/phone1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:28 +0530] "GET /MobileStore/resources/image/phone2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:28 +0530] "GET /MobileStore/resources/image/phone3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:29 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:29 +0530] "GET /MobileStore/resources/image/phone5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:29 +0530] "GET /MobileStore/resources/image/phone6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:29 +0530] "GET /MobileStore/resources/image/phone7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:29 +0530] "GET /MobileStore/resources/image/phone4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:29 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:29 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:29 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:30 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:30 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:39 +0530] "GET /MobileStore/reg HTTP/1.1" 200 6225
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:39 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:39 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:39 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:39 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:40 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:40 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:40 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:40 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:59:40 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:02:35 +0530] "GET /MobileStore/supplierList HTTP/1.1" 200 10212
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:02:36 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
