0:0:0:0:0:0:0:1 - - [06/Jun/2017:00:25:44 +0530] "GET /MobileStore/admin/categoryList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:00:25:45 +0530] "GET /MobileStore/login HTTP/1.1" 200 464
127.0.0.1 - - [06/Jun/2017:09:57:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:18 +0530] "GET /MobileStore/ HTTP/1.1" 200 9494
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:19 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:19 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:19 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:19 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:20 +0530] "GET /MobileStore/resources/image/LogoNew.png HTTP/1.1" 200 31086
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:20 +0530] "GET /MobileStore/resources/image/phone1.jpg HTTP/1.1" 200 218123
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:20 +0530] "GET /MobileStore/resources/image/phone2.jpg HTTP/1.1" 200 237158
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:20 +0530] "GET /MobileStore/resources/image/phone3.jpg HTTP/1.1" 200 1139072
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:20 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:21 +0530] "GET /MobileStore/resources/image/phone4.jpg HTTP/1.1" 200 110486
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:21 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:21 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:21 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:21 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:21 +0530] "GET /MobileStore/resources/image/phone7.jpg HTTP/1.1" 200 179681
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:21 +0530] "GET /MobileStore/resources/image/phone5.jpg HTTP/1.1" 200 1285501
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:22 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:51 +0530] "GET /MobileStore/login HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:54 +0530] "GET /MobileStore/ HTTP/1.1" 200 9494
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:54 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:55 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:55 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:55 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:55 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:56 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:56 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:56 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:56 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:57:56 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:04 +0530] "GET /MobileStore/productlistView?id=102 HTTP/1.1" 200 10410
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:04 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:04 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:04 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
